编号,标题,作者,学位授予机构,年份,摘要,记录详情URL,详情页URL,PDF URL,本地保存路径
1,How speciesism affects artificial intelligence (AI) adoption intent,"Kim, Jee Won",Queensland University of Technology,20222024-07-23,"As there have been concerns about the excessive advancement of artificial intelligence (AI) surpassing humans, exploring reactions to AI as challenging human superiority is meaningful. By examining how the hierarchical and discriminative views on animals (speciesism) affects the views on non-living AI, this thesis has significant and novel contributions to AI adoption literature and AI product marketing.",https://oatd.org/oatd/record?record=oai\:eprints.qut.edu.au\:228673&q=AI,https://eprints.qut.edu.au/228673/,https://eprints.qut.edu.au/228673/1/Jee%20Won_Kim_Thesis.pdf,oatd_ai_papers\How speciesism affects artificial intelligence AI .pdf
2,Mapping artificial intelligence affordances for the public sector,"Fatima, Samar",Queensland University of Technology,20222024-07-23,"This thesis explores the affordances of artificial intelligence (AI) for the public sector. The thesis consists of three studies that answer what, why and how questions of AI affordance actualization in public sector using a combination of primary and secondary data sources. In this thesis, the affordance theory lens is used to explore AI affordance perception and actualization for the public sector through three related studies. The perception of AI affordance is investigated in the first two studies. The third study designed and evaluated artefact for public agencies to actualize AI affordance.",https://oatd.org/oatd/record?record=oai\:eprints.qut.edu.au\:235926&q=AI,https://eprints.qut.edu.au/235926/,https://eprints.qut.edu.au/235926/1/Samar%2BFatime%2BThesis.pdf,oatd_ai_papers\Mapping artificial intelligence affordances for th.pdf
3,How speciesism affects artificial intelligence (AI) adoption intent,"Kim, Jee Won",Queensland University of Technology,20222024-07-23,"As there have been concerns about the excessive advancement of artificial intelligence (AI) surpassing humans, exploring reactions to AI as challenging human superiority is meaningful. By examining how the hierarchical and discriminative views on animals (speciesism) affects the views on non-living AI, this thesis has significant and novel contributions to AI adoption literature and AI product marketing.",https://oatd.org/oatd/record?record=oai\:eprints.qut.edu.au\:228673&q=AI,https://eprints.qut.edu.au/228673/,https://eprints.qut.edu.au/228673/1/Jee%20Won_Kim_Thesis.pdf,oatd_ai_papers\How speciesism affects artificial intelligence AI .pdf
4,Mapping artificial intelligence affordances for the public sector,"Fatima, Samar",Queensland University of Technology,20222024-07-23,"This thesis explores the affordances of artificial intelligence (AI) for the public sector. The thesis consists of three studies that answer what, why and how questions of AI affordance actualization in public sector using a combination of primary and secondary data sources. In this thesis, the affordance theory lens is used to explore AI affordance perception and actualization for the public sector through three related studies. The perception of AI affordance is investigated in the first two studies. The third study designed and evaluated artefact for public agencies to actualize AI affordance.",https://oatd.org/oatd/record?record=oai\:eprints.qut.edu.au\:235926&q=AI,https://eprints.qut.edu.au/235926/,https://eprints.qut.edu.au/235926/1/Samar%2BFatime%2BThesis.pdf,oatd_ai_papers\Mapping artificial intelligence affordances for th.pdf
5,How speciesism affects artificial intelligence (AI) adoption intent,"Kim, Jee Won",Queensland University of Technology,20222024-07-23,"As there have been concerns about the excessive advancement of artificial intelligence (AI) surpassing humans, exploring reactions to AI as challenging human superiority is meaningful. By examining how the hierarchical and discriminative views on animals (speciesism) affects the views on non-living AI, this thesis has significant and novel contributions to AI adoption literature and AI product marketing.",https://oatd.org/oatd/record?record=oai\:eprints.qut.edu.au\:228673&q=AI,https://eprints.qut.edu.au/228673/,https://eprints.qut.edu.au/228673/1/Jee%20Won_Kim_Thesis.pdf,oatd_ai_papers\How speciesism affects artificial intelligence AI .pdf
6,Mapping artificial intelligence affordances for the public sector,"Fatima, Samar",Queensland University of Technology,20222024-07-23,"This thesis explores the affordances of artificial intelligence (AI) for the public sector. The thesis consists of three studies that answer what, why and how questions of AI affordance actualization in public sector using a combination of primary and secondary data sources. In this thesis, the affordance theory lens is used to explore AI affordance perception and actualization for the public sector through three related studies. The perception of AI affordance is investigated in the first two studies. The third study designed and evaluated artefact for public agencies to actualize AI affordance.",https://oatd.org/oatd/record?record=oai\:eprints.qut.edu.au\:235926&q=AI,https://eprints.qut.edu.au/235926/,https://eprints.qut.edu.au/235926/1/Samar%2BFatime%2BThesis.pdf,oatd_ai_papers\Mapping artificial intelligence affordances for th.pdf
7,How speciesism affects artificial intelligence (AI) adoption intent,"Kim, Jee Won",Queensland University of Technology,20222024-07-23,"As there have been concerns about the excessive advancement of artificial intelligence (AI) surpassing humans, exploring reactions to AI as challenging human superiority is meaningful. By examining how the hierarchical and discriminative views on animals (speciesism) affects the views on non-living AI, this thesis has significant and novel contributions to AI adoption literature and AI product marketing.",https://oatd.org/oatd/record?record=oai\:eprints.qut.edu.au\:228673&q=AI,https://eprints.qut.edu.au/228673/,https://eprints.qut.edu.au/228673/1/Jee%20Won_Kim_Thesis.pdf,oatd_ai_papers\How speciesism affects artificial intelligence AI .pdf
8,Mapping artificial intelligence affordances for the public sector,"Fatima, Samar",Queensland University of Technology,20222024-07-23,"This thesis explores the affordances of artificial intelligence (AI) for the public sector. The thesis consists of three studies that answer what, why and how questions of AI affordance actualization in public sector using a combination of primary and secondary data sources. In this thesis, the affordance theory lens is used to explore AI affordance perception and actualization for the public sector through three related studies. The perception of AI affordance is investigated in the first two studies. The third study designed and evaluated artefact for public agencies to actualize AI affordance.",https://oatd.org/oatd/record?record=oai\:eprints.qut.edu.au\:235926&q=AI,https://eprints.qut.edu.au/235926/,https://eprints.qut.edu.au/235926/1/Samar%2BFatime%2BThesis.pdf,oatd_ai_papers\Mapping artificial intelligence affordances for th.pdf
9,How speciesism affects artificial intelligence (AI) adoption intent,"Kim, Jee Won",Queensland University of Technology,20222024-07-23,"As there have been concerns about the excessive advancement of artificial intelligence (AI) surpassing humans, exploring reactions to AI as challenging human superiority is meaningful. By examining how the hierarchical and discriminative views on animals (speciesism) affects the views on non-living AI, this thesis has significant and novel contributions to AI adoption literature and AI product marketing.",https://oatd.org/oatd/record?record=oai\:eprints.qut.edu.au\:228673&q=AI,https://eprints.qut.edu.au/228673/,https://eprints.qut.edu.au/228673/1/Jee%20Won_Kim_Thesis.pdf,oatd_ai_papers\How speciesism affects artificial intelligence AI .pdf
10,Mapping artificial intelligence affordances for the public sector,"Fatima, Samar",Queensland University of Technology,20222024-07-23,"This thesis explores the affordances of artificial intelligence (AI) for the public sector. The thesis consists of three studies that answer what, why and how questions of AI affordance actualization in public sector using a combination of primary and secondary data sources. In this thesis, the affordance theory lens is used to explore AI affordance perception and actualization for the public sector through three related studies. The perception of AI affordance is investigated in the first two studies. The third study designed and evaluated artefact for public agencies to actualize AI affordance.",https://oatd.org/oatd/record?record=oai\:eprints.qut.edu.au\:235926&q=AI,https://eprints.qut.edu.au/235926/,https://eprints.qut.edu.au/235926/1/Samar%2BFatime%2BThesis.pdf,oatd_ai_papers\Mapping artificial intelligence affordances for th.pdf
